"month","year","Average_Temperature","state","Precipitation"
"11","1919","57.0","AL","5.03"
"12","1919","47.0","AL","7.03"
"01","1920","46.9","AL","6.54"
"02","1920","46.2","AL","4.15"
"03","1920","52.1","AL","7.44"
"04","1920","62.2","AL","9.34"
"05","1920","70.4","AL","5.06"
"06","1920","76.9","AL","4.54"
"07","1920","79.4","AL","5.13"
"08","1920","77.6","AL","6.85"
"09","1920","76.8","AL","3.03"
"10","1920","63.8","AL","1.03"
"11","1920","50.6","AL","3.09"
"12","1920","44.7","AL","8.04"
"01","1921","49.3","AL","3.22"
"02","1921","50.3","AL","5.39"
"03","1921","63.4","AL","5.01"
"04","1921","61.8","AL","6.85"
"05","1921","69.9","AL","2.10"
"06","1921","80.5","AL","2.02"
"07","1921","81.4","AL","5.05"
"08","1921","80.4","AL","4.16"
"09","1921","80.9","AL","2.54"
"10","1921","62.4","AL","2.24"
"11","1921","57.6","AL","3.42"
"12","1921","50.6","AL","3.44"
"01","1922","46.4","AL","6.93"
"02","1922","53.8","AL","6.03"
"03","1922","55.4","AL","10.14"
"04","1922","66.3","AL","4.38"
"05","1922","71.6","AL","6.76"
"06","1922","78.5","AL","3.88"
"07","1922","79.8","AL","4.24"
"08","1922","78.8","AL","3.01"
"09","1922","77.0","AL","1.69"
"10","1922","64.6","AL","2.35"
"11","1922","56.5","AL","1.94"
"12","1922","53.3","AL","7.20"
"01","1923","50.9","AL","4.27"
"02","1923","46.8","AL","5.84"
"03","1923","54.2","AL","6.49"
"04","1923","62.8","AL","5.93"
"05","1923","69.1","AL","8.85"
"06","1923","76.6","AL","3.95"
"07","1923","78.5","AL","5.20"
"08","1923","78.7","AL","6.55"
"09","1923","75.8","AL","1.22"
"10","1923","63.0","AL","2.45"
"11","1923","51.1","AL","5.20"
"12","1923","53.5","AL","5.35"
"01","1924","40.6","AL","6.70"
"02","1924","46.5","AL","4.65"
"03","1924","50.4","AL","3.31"
"04","1924","62.6","AL","5.70"
"05","1924","67.3","AL","4.56"
"06","1924","79.5","AL","4.99"
"07","1924","79.7","AL","3.75"
"08","1924","81.5","AL","2.99"
"09","1924","72.4","AL","3.27"
"10","1924","64.0","AL","0.30"
"11","1924","55.1","AL","0.26"
"12","1924","47.4","AL","7.22"
"01","1925","47.1","AL","10.08"
"02","1925","52.2","AL","3.44"
"03","1925","57.2","AL","3.02"
"04","1925","67.3","AL","1.53"
"05","1925","69.4","AL","2.45"
"06","1925","80.6","AL","2.36"
"07","1925","81.6","AL","4.90"
"08","1925","80.4","AL","1.81"
"09","1925","83.1","AL","2.73"
"10","1925","64.8","AL","6.03"
"11","1925","51.8","AL","4.59"
"12","1925","44.0","AL","3.61"
"01","1926","43.8","AL","7.96"
"02","1926","50.1","AL","4.39"
"03","1926","49.0","AL","6.39"
"04","1926","60.4","AL","2.35"
"05","1926","70.0","AL","3.16"
"06","1926","77.3","AL","4.78"
"07","1926","79.1","AL","5.67"
"08","1926","80.3","AL","6.97"
"09","1926","79.0","AL","4.20"
"10","1926","66.0","AL","2.34"
"11","1926","49.4","AL","5.07"
"12","1926","50.4","AL","6.20"
"01","1927","47.8","AL","1.27"
"02","1927","57.7","AL","6.43"
"03","1927","56.0","AL","5.27"
"04","1927","67.6","AL","2.29"
"05","1927","72.6","AL","2.80"
"06","1927","78.0","AL","5.40"
"07","1927","80.6","AL","4.17"
"08","1927","78.0","AL","3.72"
"09","1927","77.1","AL","1.41"
"10","1927","66.5","AL","2.21"
"11","1927","59.3","AL","3.74"
"12","1927","45.8","AL","8.21"
"01","1928","44.0","AL","1.52"
"02","1928","47.3","AL","3.63"
"03","1928","55.3","AL","6.19"
"04","1928","59.2","AL","10.12"
"05","1928","69.1","AL","3.77"
"06","1928","75.8","AL","10.52"
"07","1928","80.5","AL","5.19"
"08","1928","80.6","AL","4.56"
"09","1928","72.9","AL","2.91"
"10","1928","67.2","AL","3.45"
"11","1928","52.3","AL","2.47"
"12","1928","45.7","AL","2.20"
"01","1929","48.1","AL","5.82"
"02","1929","45.4","AL","8.87"
"03","1929","58.7","AL","14.82"
"04","1929","66.4","AL","4.50"
"05","1929","71.1","AL","5.85"
"06","1929","77.0","AL","4.76"
"07","1929","79.8","AL","3.65"
"08","1929","79.9","AL","2.07"
"09","1929","74.4","AL","5.64"
"10","1929","62.3","AL","5.17"
"11","1929","53.9","AL","10.20"
"12","1929","44.2","AL","3.73"
"01","1930","44.8","AL","4.33"
"02","1930","53.1","AL","2.40"
"03","1930","51.6","AL","5.58"
"04","1930","64.6","AL","1.47"
"05","1930","72.3","AL","4.65"
"06","1930","76.8","AL","1.76"
"07","1930","83.4","AL","3.71"
"08","1930","79.1","AL","3.46"
"09","1930","76.4","AL","6.03"
"10","1930","61.5","AL","2.64"
"11","1930","52.9","AL","6.94"
"12","1930","42.7","AL","2.83"
"01","1931","43.7","AL","3.20"
"02","1931","48.9","AL","3.48"
"03","1931","49.1","AL","3.87"
"04","1931","60.8","AL","3.21"
"05","1931","67.9","AL","3.43"
"06","1931","79.2","AL","1.66"
"07","1931","81.2","AL","5.85"
"08","1931","77.4","AL","4.49"
"09","1931","78.9","AL","1.21"
"10","1931","67.5","AL","1.81"
"11","1931","59.7","AL","2.13"
"12","1931","54.3","AL","9.50"
"01","1932","51.9","AL","7.34"
"02","1932","56.9","AL","5.53"
"03","1932","50.7","AL","4.55"
"04","1932","63.9","AL","3.27"
"05","1932","69.4","AL","4.92"
"06","1932","78.5","AL","4.82"
"07","1932","82.4","AL","4.99"
"08","1932","80.2","AL","5.28"
"09","1932","74.3","AL","5.01"
"10","1932","62.0","AL","6.71"
"11","1932","48.9","AL","3.91"
"12","1932","49.1","AL","9.20"
"01","1933","51.4","AL","2.98"
"02","1933","48.1","AL","6.10"
"03","1933","54.9","AL","6.18"
"04","1933","62.0","AL","6.24"
"05","1933","75.6","AL","2.78"
"06","1933","78.0","AL","3.19"
"07","1933","79.0","AL","7.18"
"08","1933","79.6","AL","3.96"
"09","1933","78.8","AL","2.27"
"10","1933","65.2","AL","1.79"
"11","1933","53.7","AL","1.26"
"12","1933","54.9","AL","3.25"
"01","1934","48.3","AL","3.90"
"02","1934","43.8","AL","4.60"
"03","1934","53.0","AL","6.47"
"04","1934","63.4","AL","3.48"
"05","1934","71.2","AL","3.74"
"06","1934","79.4","AL","5.15"
"07","1934","81.2","AL","6.78"
"08","1934","80.1","AL","5.85"
"09","1934","74.0","AL","2.27"
"10","1934","65.8","AL","6.38"
"11","1934","55.8","AL","3.97"
"12","1934","44.8","AL","3.36"
"01","1935","46.7","AL","2.76"
"02","1935","48.5","AL","4.16"
"03","1935","60.4","AL","7.56"
"04","1935","63.7","AL","5.43"
"05","1935","71.9","AL","4.62"
"06","1935","76.3","AL","3.78"
"07","1935","80.6","AL","4.39"
"08","1935","80.9","AL","4.65"
"09","1935","74.1","AL","2.25"
"10","1935","66.0","AL","1.93"
"11","1935","54.7","AL","3.30"
"12","1935","39.1","AL","4.21"
"01","1936","43.1","AL","11.49"
"02","1936","44.6","AL","7.13"
"03","1936","58.3","AL","3.73"
"04","1936","61.2","AL","6.41"
"05","1936","72.7","AL","2.01"
"06","1936","80.3","AL","1.85"
"07","1936","81.2","AL","7.31"
"08","1936","80.2","AL","5.30"
"09","1936","77.7","AL","2.70"
"10","1936","66.0","AL","2.00"
"11","1936","51.8","AL","1.86"
"12","1936","48.7","AL","7.26"
"01","1937","57.0","AL","9.10"
"02","1937","47.5","AL","5.00"
"03","1937","52.1","AL","4.46"
"04","1937","62.5","AL","6.64"
"05","1937","72.2","AL","4.51"
"06","1937","79.6","AL","3.62"
"07","1937","79.4","AL","4.52"
"08","1937","80.3","AL","5.05"
"09","1937","72.8","AL","4.11"
"10","1937","61.8","AL","5.95"
"11","1937","50.1","AL","3.40"
"12","1937","45.4","AL","2.84"
"01","1938","46.2","AL","3.47"
"02","1938","54.0","AL","1.98"
"03","1938","62.0","AL","6.18"
"04","1938","63.0","AL","9.60"
"05","1938","72.1","AL","3.32"
"06","1938","76.6","AL","4.47"
"07","1938","79.8","AL","7.67"
"08","1938","80.8","AL","3.90"
"09","1938","74.2","AL","1.33"
"10","1938","65.2","AL","0.38"
"11","1938","54.8","AL","3.38"
"12","1938","45.8","AL","2.79"
"01","1939","48.8","AL","4.78"
"02","1939","51.7","AL","10.11"
"03","1939","57.8","AL","5.01"
"04","1939","61.4","AL","3.49"
"05","1939","70.0","AL","5.67"
"06","1939","78.3","AL","6.70"
"07","1939","80.1","AL","4.98"
"08","1939","77.8","AL","10.31"
"09","1939","76.4","AL","3.88"
"10","1939","65.5","AL","0.43"
"11","1939","50.9","AL","0.86"
"12","1939","47.8","AL","3.36"
"01","1940","32.1","AL","4.35"
"02","1940","44.4","AL","6.91"
"03","1940","53.9","AL","5.24"
"04","1940","61.3","AL","3.70"
"05","1940","68.0","AL","3.46"
"06","1940","76.4","AL","6.50"
"07","1940","77.9","AL","8.85"
"08","1940","79.6","AL","2.95"
"09","1940","72.6","AL","1.54"
"10","1940","64.7","AL","1.30"
"11","1940","53.1","AL","3.56"
"12","1940","50.1","AL","6.50"
"01","1941","46.2","AL","2.72"
"02","1941","42.7","AL","2.84"
"03","1941","49.0","AL","4.58"
"04","1941","64.8","AL","2.88"
"05","1941","72.7","AL","0.73"
"06","1941","78.0","AL","4.14"
"07","1941","80.0","AL","7.97"
"08","1941","80.1","AL","5.57"
"09","1941","77.3","AL","2.80"
"10","1941","70.9","AL","2.08"
"11","1941","52.8","AL","2.63"
"12","1941","48.7","AL","7.25"
"01","1942","42.5","AL","3.46"
"02","1942","43.2","AL","4.83"
"03","1942","53.9","AL","7.34"
"04","1942","63.6","AL","1.84"
"05","1942","70.5","AL","3.43"
"06","1942","77.8","AL","5.49"
"07","1942","80.3","AL","5.00"
"08","1942","77.8","AL","6.41"
"09","1942","72.4","AL","4.06"
"10","1942","64.6","AL","1.99"
"11","1942","56.0","AL","1.84"
"12","1942","47.4","AL","8.02"
"01","1943","47.7","AL","4.23"
"02","1943","49.4","AL","2.29"
"03","1943","52.8","AL","9.91"
"04","1943","62.9","AL","3.64"
"05","1943","73.3","AL","3.78"
"06","1943","80.9","AL","3.68"
"07","1943","81.1","AL","4.68"
"08","1943","81.4","AL","3.90"
"09","1943","71.7","AL","4.47"
"10","1943","61.5","AL","0.81"
"11","1943","50.8","AL","3.40"
"12","1943","45.4","AL","3.62"
"01","1944","45.2","AL","3.61"
"02","1944","54.0","AL","7.04"
"03","1944","56.0","AL","10.85"
"04","1944","61.6","AL","9.49"
"05","1944","72.1","AL","2.93"
"06","1944","80.2","AL","2.83"
"07","1944","79.3","AL","4.31"
"08","1944","78.8","AL","6.63"
"09","1944","75.3","AL","4.94"
"10","1944","63.0","AL","0.57"
"11","1944","53.4","AL","3.58"
"12","1944","44.4","AL","3.69"
"01","1945","44.8","AL","4.07"
"02","1945","51.4","AL","6.97"
"03","1945","63.4","AL","4.98"
"04","1945","65.4","AL","7.61"
"05","1945","68.4","AL","3.24"
"06","1945","78.2","AL","3.35"
"07","1945","79.4","AL","5.89"
"08","1945","79.4","AL","3.07"
"09","1945","77.1","AL","3.59"
"10","1945","62.6","AL","3.70"
"11","1945","55.6","AL","3.46"
"12","1945","40.5","AL","6.50"
"01","1946","46.5","AL","8.37"
"02","1946","49.8","AL","6.49"
"03","1946","59.9","AL","8.02"
"04","1946","65.9","AL","2.86"
"05","1946","69.8","AL","7.66"
"06","1946","75.7","AL","5.51"
"07","1946","78.6","AL","6.84"
"08","1946","77.3","AL","4.93"
"09","1946","72.5","AL","5.88"
"10","1946","63.8","AL","1.48"
"11","1946","59.3","AL","5.00"
"12","1946","50.3","AL","2.67"
"01","1947","49.3","AL","9.97"
"02","1947","41.1","AL","1.97"
"03","1947","48.7","AL","7.41"
"04","1947","65.0","AL","6.85"
"05","1947","69.5","AL","6.05"
"06","1947","76.7","AL","4.71"
"07","1947","76.9","AL","3.37"
"08","1947","80.6","AL","3.81"
"09","1947","76.1","AL","2.62"
"10","1947","68.9","AL","1.76"
"11","1947","51.8","AL","8.15"
"12","1947","47.2","AL","4.97"
"01","1948","38.5","AL","4.49"
"02","1948","50.2","AL","6.28"
"03","1948","57.9","AL","9.85"
"04","1948","66.7","AL","3.90"
"05","1948","71.3","AL","3.25"
"06","1948","78.8","AL","3.52"
"07","1948","80.5","AL","6.72"
"08","1948","78.4","AL","4.01"
"09","1948","72.5","AL","4.38"
"10","1948","61.0","AL","1.54"
"11","1948","55.5","AL","15.07"
"12","1948","49.5","AL","4.63"
"01","1949","52.7","AL","7.06"
"02","1949","52.6","AL","6.26"
"03","1949","53.7","AL","6.42"
"04","1949","61.4","AL","5.19"
"05","1949","72.1","AL","4.29"
"06","1949","77.2","AL","5.56"
"07","1949","80.3","AL","6.76"
"08","1949","78.9","AL","4.65"
"09","1949","72.4","AL","3.25"
"10","1949","69.0","AL","3.05"
"11","1949","51.8","AL","0.86"
"12","1949","48.6","AL","4.02"
"01","1950","58.9","AL","4.92"
"02","1950","53.2","AL","4.29"
"03","1950","52.2","AL","6.72"
"04","1950","59.2","AL","3.48"
"05","1950","73.7","AL","4.17"
"06","1950","77.6","AL","3.35"
"07","1950","77.5","AL","9.12"
"08","1950","77.1","AL","5.59"
"09","1950","72.1","AL","3.83"
"10","1950","66.1","AL","1.78"
"11","1950","48.6","AL","1.78"
"12","1950","41.2","AL","4.01"
"01","1951","46.8","AL","3.96"
"02","1951","49.3","AL","3.39"
"03","1951","56.1","AL","9.26"
"04","1951","61.1","AL","5.02"
"05","1951","70.2","AL","1.48"
"06","1951","78.4","AL","4.68"
"07","1951","80.8","AL","4.15"
"08","1951","82.4","AL","2.24"
"09","1951","75.6","AL","5.81"
"10","1951","65.9","AL","1.72"
"11","1951","48.7","AL","3.68"
"12","1951","49.9","AL","7.53"
"01","1952","52.4","AL","3.96"
"02","1952","51.1","AL","4.30"
"03","1952","53.3","AL","6.59"
"04","1952","61.0","AL","2.95"
"05","1952","71.5","AL","5.30"
"06","1952","82.0","AL","2.07"
"07","1952","82.3","AL","2.23"
"08","1952","79.7","AL","6.28"
"09","1952","72.1","AL","3.21"
"10","1952","57.6","AL","1.21"
"11","1952","51.9","AL","2.67"
"12","1952","45.3","AL","5.93"
"01","1953","49.0","AL","5.47"
"02","1953","48.9","AL","7.48"
"03","1953","58.1","AL","3.70"
"04","1953","60.6","AL","7.72"
"05","1953","73.8","AL","4.49"
"06","1953","80.6","AL","3.71"
"07","1953","79.6","AL","5.94"
"08","1953","79.0","AL","2.61"
"09","1953","73.7","AL","4.77"
"10","1953","65.3","AL","0.56"
"11","1953","52.1","AL","2.62"
"12","1953","44.4","AL","10.39"
"01","1954","46.9","AL","4.20"
"02","1954","52.0","AL","3.12"
"03","1954","53.8","AL","3.70"
"04","1954","67.5","AL","3.56"
"05","1954","66.2","AL","2.36"
"06","1954","79.0","AL","2.24"
"07","1954","82.4","AL","3.91"
"08","1954","83.4","AL","1.85"
"09","1954","78.2","AL","1.16"
"10","1954","65.2","AL","1.53"
"11","1954","50.9","AL","3.05"
"12","1954","44.6","AL","4.71"
"01","1955","44.0","AL","4.43"
"02","1955","49.1","AL","5.46"
"03","1955","58.6","AL","3.25"
"04","1955","66.2","AL","7.39"
"05","1955","73.3","AL","5.68"
"06","1955","73.3","AL","3.12"
"07","1955","79.8","AL","7.17"
"08","1955","80.3","AL","3.08"
"09","1955","76.8","AL","0.93"
"10","1955","62.0","AL","2.45"
"11","1955","51.8","AL","3.17"
"12","1955","46.0","AL","2.04"
"01","1956","42.2","AL","2.68"
"02","1956","53.5","AL","7.89"
"03","1956","54.6","AL","6.87"
"04","1956","61.2","AL","4.62"
"05","1956","73.3","AL","2.60"
"06","1956","76.2","AL","4.26"
"07","1956","79.6","AL","5.55"
"08","1956","80.1","AL","2.88"
"09","1956","72.1","AL","4.70"
"10","1956","65.0","AL","3.70"
"11","1956","51.0","AL","1.78"
"12","1956","54.2","AL","6.19"
"01","1957","48.4","AL","4.59"
"02","1957","56.4","AL","3.71"
"03","1957","52.7","AL","4.24"
"04","1957","65.0","AL","7.15"
"05","1957","71.8","AL","5.13"
"06","1957","78.2","AL","5.85"
"07","1957","79.7","AL","3.00"
"08","1957","79.5","AL","2.28"
"09","1957","73.8","AL","8.95"
"10","1957","59.4","AL","2.37"
"11","1957","55.0","AL","8.07"
"12","1957","47.5","AL","3.52"
"01","1958","39.7","AL","3.31"
"02","1958","38.2","AL","4.33"
"03","1958","50.9","AL","5.69"
"04","1958","63.3","AL","5.12"
"05","1958","70.8","AL","2.92"
"06","1958","77.9","AL","4.86"
"07","1958","79.0","AL","8.32"
"08","1958","78.9","AL","3.00"
"09","1958","75.1","AL","5.19"
"10","1958","62.3","AL","1.41"
"11","1958","55.9","AL","3.00"
"12","1958","42.6","AL","2.07"
"01","1959","43.1","AL","4.53"
"02","1959","49.4","AL","4.84"
"03","1959","52.1","AL","5.99"
"04","1959","62.3","AL","4.10"
"05","1959","72.8","AL","6.10"
"06","1959","76.6","AL","4.23"
"07","1959","79.8","AL","4.61"
